,DARMC_X,DARMC_Y,DARMC_OBJECTID,NAME,NAME2,Latitude,Longitude,Geo_Q,F2008_Wreck,F2010_Wreck,Geo_D,Start_Date,End_Date,Date_Q,Date_D,Depth,Depth_Q,Year_Found,Year_Found_1,Cargo_1,Cargo_Type1,Cargo_2,Cargo_Type2,Cargo_3,Cargo_Type_3,Other_Cargo,Gear,Estimated displacement,Comments,Length,Width,Size_Detail,Parker_ref,Parker?,Bibliography AFM State 2008,Bibliography_2,OXREP_locid,OXREP_Site_Name,OXREP_Wreck_Name,OXREP_Earliest_Date,OXREP_Latest_Date,OXREP_Dating_comment,OXREP_Wreck_ID,OXREP_Strauss_ID,OXREP_Parker_Number,OXREP_Sea_area,OXREP_Country,OXREP_Region,OXREP_Min_depth,OXREP_Max_depth,OXREP_Depth,OXREP_Period,OXREP_Reference,OXREP_Comments,OXREP_Stone_cargo_notes,OXREP_Other_cargo,OXREP_Hull_remains,OXREP_Shipboard_paraphernalia,OXREP_Ship_equipment,OXREP_Estimated_tonnage,,
1176,3784862.687,3763310.627,1177,Israel, ,32,34,?,395,406, ,500,600, , ,40, , , ,ceramic,pottery, ,, , , ,ballast, ,,0,0, ,525,1,, ,775,Israel,Israel,500,600,,7938,,525,,,,,,,,,,,,,,,,,
,,,,Jezirat Fara'un (Sinai),,33.571,35.372,,400,411,,500,1500,,,,,,,Amphoras,Byzantine ,,,,,,,,Probably anchorage debris of Byzantine  amphoras. Possibility of wreck deep under sand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kaleyeri Sığlığı ,,38.302,26.221,ca,,,,500,600,,,4,1 +/-,2005,,Amphoras,cylinder and round shaped; dated to sixth and seventh century,,,,,,,,No remains of the ship's timber found; remains of the cargo spread over 100 sq. m.. The ship is thought to have been following a north-south itinerary when it wrecked on a sand bar. ,,,,,,H. Özdaş 2007. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,2616008.034,4890191.466,1012,Kallithea, ,40.166667,23.5,ca,401,412, ,500,1500, , ,3, , , ,amphoras,Byzantine , ,, , , ,, ,,0,0, ,532,1,, ,1926,Kallithea,Kallithea,325,675,,7945,,532,,,,,,,Late Roman,,,,,,,,,,
1155,3326671.663,4325693.276,1156,Kekova Adasi B, ,36.182,29.884,ca,0,0, ,500,550, , , , ,1983, ,amphoras,LR5; LR4, ,, , , ,, ,cargo was wine; LR4 amphoras are of uncertain association with the wreck,0,0, , ,0,,J. Leidwanger 2011.,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,3082496.701,4400582.819,1088,Knidos-Arslanli Promontory, ,36.723117,27.690539, ,1064,424, ,500,600,ca, ,30.0-33.0, , , ,amphoras,, ,, , , ,, ,,0,0, , ,0,"A. Canbazoğlu 1982, 369-377.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kumluca ,,36.202,30.396,ca,,,,500,700,ca,,19.5,7.5 +/-,2007,,Tiles,roof tiles; 30 pcs,,,,,,T-shaped iron anchor ,,,,,,,,"H. Özdaş, ""Akdeniz Bölgesi Sualtı Araştırması 2007 Yılı Çalışmaları,"" 2009. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,2727327.524,3774254.4,1021,Marsa Lucch, ,32.083333,24.5, ,492,516, ,500,650,ca, , , , , ,amphoras,Riley LR8a, ,"terra sigillata chiara A, black-walled ware saucepan and coarseware", , , ,, ,,6,2,remains,660,1,, ,971,Marsa Lucch,Marsa Lucch,500,650,,8057,,660,,,,,,,,,,,,,,,,,
720,1384072.336,4562957.81,721,Marsala 3, ,37.883333,12.433333, ,495,519, ,500,1500,?, , , , , ,nothing reported,, ,, , , ,, ,hull,0,0, ,665,1,, ,2503,Marsala,Marsala C,1000,1500,,8062,,665,,,,,,,,,,,,,,,,,
860,1684634.961,4404317.064,861,Marzamemi 2,Church Wreck of Marzamemi,36.75,15.133333, ,506,531, ,500,540,ca, ,10, , , ,marble,"carved architectural pieces for basilica, verde antico and white Proconnesian",amphoras,,ceramic,terra sigillata chiara dish, ,, ,,0,0, ,671,1,Leidwanger and Bruno 2013, ,1578,Marzamemi,Marzamemi B,500,540,first half C6th AD,8068,,671,,Italy,Southern Sicily,,,,Byzantine,,,,"A cargo of pre-fabricated marble architectural pieces from a Byzantine church, including 28 bases and 27 capitals of Proconnesian marble, and an 'ambo' with 2 staircases from which a priest would deliver sermons.",,,,,,
994,2415632.95,4413583.2,995,Methone 2, ,36.816667,21.7, ,523,547, ,500,1500, , ,30, , , ,ceramic,Medieval Jars, ,, , , ,ballast, ,,0,0, ,694,1,, ,2497,Methone,Methone B,1000,1500,,8090,,694,,,,,,,,,,,,,,,,,
1090,3087260.545,5258849.109,1091,Neseber 2, ,42.65,27.733333, ,555,579, ,500,625,ca, , , , , ,amphoras,globular, ,, , , ,, ,,0,0, ,738,1,, ,976,Nesebar,Neseber B,500,625,,8134,,738,,,,,,,,,,,,,,,,,
,,,,Palamutbükü,,36.664,27.603,ca,,,,500,700,ca,,6,3 +/-,2010,,Amphoras,round LR2 type,,,,,,stone anchor with three wholes ,,,,,,,,H. Özdaş et al. 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,916530.4742,5004969.47,410,Pelosa 2, ,40.95,8.233333, ,627,659, ,500,1500, , , , , , ,ceramic,glazed pottery,metal,iron bar,glass,glass fragments,lumps of sulfur,iron anchor?, ,"hull planking, deadeyes? A Roman and a medieval wreck seem to be on top of one another on this site of Pelosa; it is difficult to assign finds to one or the other.",0,0, ,799,1,, ,1135,Pelosa,Pelosa B,1000,1500,,8189,,799,,,,,,,,,,,,,,,,,
1009,2580756.862,4481005.823,1010,Porto Cheli, ,37.3,23.183333, ,689,729, ,500,600,?, ,7, , , ,amphoras,globular, ,, , , ,ballast, ,,0,0, ,884,1,, ,964,Porto Cheli,Porto Cheli,500,600,,8267,,884,,,,,,,,,,,,,,,,,
821,1623409.241,5517172.026,822,Premuda 3, ,44.333333,14.583333, ,712,746, ,500,1500, , , , , , , ,, ,, , , ,, ,'probable medieval ship',0,0, ,903,1,, ,1598,Premuda,Premuda C,1000,1500,,8286,,903,,,,,,,,,,,,,,,,,
893,1723596.782,5175970.749,894,Punta del Diavolo, ,42.1,15.483333, ,726,760, ,500,1500,?, ,21, , , ,stone,limestone blocks, ,, , , ,, ,,0,0, ,924,1,, ,1446,Punta del Diavolo,Punta del Diavolo,1000,1500,C11th-15th AD,8306,,924,,Italy,Puglia,21,21,21m,Medieval,http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html          area 1 site 9,"Also known as shipwreck B of the Tre Senghe, a cargo of stone difficult to date due to the lack of ceramic evidence.","A cargo of stone (marble??) comprising of blocks, slabs, small columns and pillars. It is covered in in concretions which hinders exact definition of the material, but is i  its original stacked position",,,,,,,
830,1638251.84,5517172.026,831,Silba 4, ,44.333333,14.716667, ,848,886, ,500,1500, , , , , , ,glass,, ,, , , ,, ,,0,0, ,1087,1,, ,1650,Silba,Silba D,1000,1500,,8464,,1087,,,,,,,,,,,,,,,,,
1211,3886806.628,3843621.138,1212,Tantura lagoon A (Dor J),Dor J,32.609769,34.915778, ,896,933, ,500,600,ca, , ,shallow, , ,Amphoras,LR5 (Byzantine bag shaped),Ceramic,sherds glued to the hull with resin,, , ,stone anchor, ,"25% hull of small coaster; 14C dates wreck to C6; ballast, keel, post, stakes, frames, nail and bolt attachments, caulking in seams. 7 other shipwrecks, one Roman, another a ?galley, not precisely dated are in the same area. 14C dated according to BAR publication",12,0, , ,0,"G. Dahl 1915; S. Wachsmann and K. Raveh 1984, 223-241; E. Stern 1993, 22-31, 76,78; E. Stern 1993, 18-29; E. Stern 1993, 38-49; J.R. Steffy 1994; E. Stern 1994; B.M. Bryant 1995, 18-19; Y. Carmi and D. Segal 1995, 12; W.H. Charlton 1995, 17; Y.Kahanov and S. Breitstein 1995; Y. Kahanov and S. Breitstein 1995, 9-13; P. Sibella 1995, 13-16; P. Sibella 1995, 19-20; S. Wachsmann 1995; S. Wachsmann 1995, 3-20; Y. Kahanov and J.G. Royal 1996, 21-23; S. Wachsmann 1996, 17-21; S. Wachsmann 1996, 19-23; “Field Notes” 1997, 103-109; P. Sibella 1997, 16-18; S. Wachsmann and Y. Kahanov 1997, 3-18; S. Wachsmann, Y. Kahanov, and J. Hall 1997, 3-15; S. Kampbell 2006, 7-10; S. Kingsley 2002, 4; S. Kingsley 2004, 39.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,3597474.878,4145776.407,1167,Thalassinies Spilies, ,34.866667,32.316667, ,910,950, ,500,700, , , ,shallow, , ,amphoras,Byzantine globular, ,, , , ,, ,,0,0, ,1145,1,, ,1646,Thalassinies Spilies,Thalassinies Spilies,500,700,,8521,,1145,,,,,,,,,,,,,,,,,
1228,3918446.076,3930753.231,1229,Tyre 7, ,33.266667,35.2,ca,942,982, ,500,1500, , , , , , ,Ceramic,glazed pottery,Stone,millstones, , , ,, ,,0,0, ,1191,1,, ,2492,Tyre,Tyre H,500,1500,,8565,,1191,,,,,,,,,,,,,,,,,
910,1803375.751,5136046.189,911,Vieste, ,41.833333,16.2, ,963,1003, ,500,1500, , , , , , ,tiles,, ,, , , ,, ,,0,0, ,1215,1,, ,1068,Vieste,Vieste,1000,1500,,8587,,1215,,,,,,,,,,,,,,,,,
1169,3711960.888,4320015.465,1170,Yilanli Ada,Erkut Arcak,36.140821,33.345112, ,1055,1055, ,500,700, , ,55, ,2002, ,amphoras,LRA1, ,, , , ,, ,>60 amphoras,0,0, , ,0,V. Evrin and et al. 2005., ,,,,,,,,,,,,,,,,,,,,,,,,,,
841,1647528.464,5504212.121,842,Zapuntel, ,44.25,14.8,ca,1020,1060, ,500,1500, , , , , , ,ceramic,pottery, ,, , , ,, ,,0,0, ,1246,1,, ,1583,Zapuntel,Zapuntel,1000,1500,,8614,,1246,,,,,,,,,,,,,,,,,
253,560308.1037,5360296.627,254,Carro 1, ,43.316667,5.033333, ,191,197, ,525,550,?, ,5, , , ,amphoras,,ceramic,terra sigillata chiara dish,metal,"lead bar, lead stock or ingot", ,, ,,0,0, ,268,1,, ,2523,Carro,Carro A,525,550,,7691,,268,,,,,,,,,,,,,,,,,
1200,3885050.229,3842330.217,1201,Dor 4 (D),Dor D,32.6,34.9, ,269,278, ,539,621, , ,2, ,1999,before,amphoras,"LR4, LR5; petrology Palestine between Gaza & Ashkelon",metal,"2 bronze steelyards, pear-shaped counterbalance lead weight sheated in copper, w/ inscription of different owners and christian sign of cross Artemon-Psates of Rhion",stone,cheap stone anchors,gear: LR1  (Paphos kiln?) LR2 ARS Keay 42D; roof tiles from Cyprus; hearth tiles seem to be from Palestine; iron pick,"3 single hole cheap stone anchors, marble ballast stones, iron pick",,"Dating based on 14C on plank and artefacts. 30m from shore.  14 planks remain. Treenails still used despite fact that archaeologists believe they were abandoned after early 7th C. Kingsley 2002; small coaster that had come from western Cyprus (Paphos?) on last voyage, bring recycled empty amphoras to Palestine stone ballast; only few strakes: estimated size from well-preserved ballast deposit = 15 m: Kingsley 2002, 85.",16,0,length can be less than 16, ,0,"K. Raveh and S. Kingsley 1992, 309-315; A.D. de la Presle 1993, 580-589; S. Kinglsey and K. Raveh 1994, 1-12; S. Kinglsey and K. Raveh 1994, 289-295; Y. Kahanov and J.G. Royal 2001, 257-265; S. Kingsley 2002, 6.",Y. Kahanov 2003.,2030,Dor,Dor D,550,600,mid--late C6th AD,8835,,,Eastern Mediterranean,Israel,Dor,2,2,2m,Byzantine,"Y. Kahanov and J. Royal, IJNA 30 (2001), 257-65; S. Kingsley, A Sixth Century AD Shipwreck off the Carmel Coast, Israel: Dor D and the Holy Land Wine Trade (2002); S. Kingsley, IJNA 32 (2003), 85-90; S. Kingsley, Barbarian Seas: Later Rome to Islam (Periplus, 2004), 68-71; J. Royal and Y. Kahanov, IJNA 34 (2005), 308-313","One of 13 wreck sites in the area, this ship was only 15m in length, and seems to have been returning empty amphorae for recycling, collected from northern Mediterranean cities. About 750 amphora fragments have been examined and most belong to LR5 amphorae some with grape pips still embedded in the pitch lining. The wreck site was protected by the ship's ballast stones.",,,"Fourteen Cyprus timbers were protected by the ballast stones with evidence of char-bending. Loose moritse and tenon joints are  26.4cm apart, 68% are fixed with treenails, 32% with iron nails, showing a leaning towards frame-first construction. The timbers have been dated by C14 to mid C5th-mid C6th AD.",An Egyptian Aswan-ware bowl.,"350 Cypriot ballast stones covering an area 10.6 x 8.3m. Roof tiles. At least 3 single-hole tone anchors (66kg, 85kg and 109kg), found nearby, very much inferior type anchors for the time, may be part of this wreck.",5,,
331,710589.4162,5311971.847,332,"Palud, La", ,43,6.383333,ca,610,642, ,540,600, , ,5, , , ,amphoras,"Keay62 Keay 55; 2 LR 1, 3fgmts LR 2, 1 LR 4,  1 LR 5",tiles,roof tiles as well,ceramic,coarseware, ,, ,"Frame of hull. Parker spells it La Palu, Long and Volpe = La Palud on isle of Port-Cros. Dated 550-600 according to to Kingsley 2002, 79, citing Long and Volpe 1998, 338-9. Correct ref = 1998, p 339, & they propose ca. 540-560 or ca. 550-600. >90% identified amphora parts are African; 180 identifiable sherds; few eastern amphoras. Total cargo = 150-200 amphoras, each ca 80-90 l., i.e. total cargo of 120-80 hl;  crew ware: ARS Hayes 78, 88, 104A; fine balance. Keay 55 and 62A produced in Nabeul (Neapolis) region workshops; crew's ware came from nearby workshops at Oudha (ARS 99B) and Sidi Khalifa  (ARS 88). LRA 1, 2, 4, and 5 do not contradict this point of departure, because they are common at Nabeul: M. Bonifay 2004, 453. Scientific analysis shows Keay 62 had resin not macroscopically visible: Bonifay and Garnier 2007.",0,0, ,782,1,, ,802,La Palud,La Palud 1,525,575,mid C6th AD,8173,,782,Western Mediterranean,France,Var,6,7,7m,Byzantine,"L. Long and G. Volpe, Bilan Scientifique 1993, 46-47; Bilan Scientifique 1994, 48; Bilan Scientifique 1995, 53;  in M. Bonifay (ed.) Fouilles a Marseille. Les mobiliers (Ier- VII siecles ap. J.-C.), (1998), 317-42S; M. Bonifay et al, in L. Rivet and M. Sciallano (eds). Vivre, Produire et Echanger: Reflets Mediterraneans. Melanges offerts a Bernard Liou (2002), 198-199; S. Kingsley, Barbarian Seas: Late Rome to Islam (Perpilus, 2004), 41.","An 18,000 litre cargo of North African and Eastern wine amphorae covering 60-80 sq m.",,,,"A unique find was a rectangular wooden box that once held secure round round copper or bronze weights from a merchant's balance. The designs of the weights are still preserved in the soft grain of the wood, so that a Byzantine emperor (of the period AD 527-28) staring out of the box is all that remains of the weights today. Fragments of African sigillata Hayes type 99 and 103B, as well as Late Roman C ware, type Hayes 3E.",,,,
1110,3133309.707,4390571.692,1111,Arap Adasi B, ,36.651,28.147,ca,0,0, ,550,600, , , , ,1982, ,amphoras,LR1 (type 1 & 2); LR4, ,, , , ,, ,possibly an intact ship assemblage,0,0, , ,0,,J. Leidwanger 2011.,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,2911004.684,4645561.544,1042,Ayios Stefanos, ,38.466667,26.15, ,55,58, ,550,650,?, ,4, , , ,amphoras,LRA1 and other types; LRA1 have resin lining, ,, , , ,, ,>1000 amphoras,24,12,remains,71,1,, ,1316,Ayios Stephanos,Ayios Stephanos,525,675,,7502,,71,Aegean,Greece,,,,,,,Mound of amphorae measuring 24 x 12m.,,,,,,,,
1207,3885050.229,3842330.217,1208,Tantura Lagoon E, ,32.6,34.9, ,898,935, ,550,650, , ,2.5, ,1995, ,amphoras,"""Umayyad""", ,, , , ,, ,"Dating by 14C and ceramic; notwithstanding intrusive ceramics, fragments of one amphora, app. in situ, was typical of Umayyad period and orient toward C8 date; built of many short planks, in fahsion characteristics of frame-based hulls; eastern Mediterranean wood species.",8,3.5,ca, ,0,"S. Kampbell 2006, 7-10; O. Barkai and Y. Kahanov 2007, 21-31.",E. Israeli and Y. Kahanov 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dor 2006,,32.6,34.915,,,,550,625,ca,,4,4-2 m,2006,,Ceramic,"4 ceramic vessels, 1 bowl; sherds of storage jars, cooking-pot lid, strainer jug, Cypriot bowl; 10 clay bricks (may have been for crew use, not cargo)",,,,,,2 Byzantine minima; ropes; remains of basket or woven mat; wooden objects; food remains (pits/stones and nutshells),170-200 tn,"wooden hull remains: large frames, stringers and ceiling planks, large number of strakes and wales, some with unpegged mortise-and-tenon joints; woods used suggest eastern Mediterranean place of construction",25,,est original length,,,"Navri, Kahanov, and Cvikel 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,3885050.229,3842330.217,1205,Dor O (Trench IX), ,32.6,34.9, ,273,282, ,553,645, , , , , , ,masonry,,ceramic,pottery, , , ,, ,Dating based on 14C.,0,0, , ,0,"S. Wachsmann, Y. Kahanov, and J. Hall 1997, 10; S. Kingsley 2002, 4.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,3849799.057,4254851.625,1183,Cape Andreas 2,Cape Andreas B,35.666667,34.583333, ,150,156, ,575,700, , ,9, ,1969, ,amphoras,LR 2b/13; unidentified similar amphora,glass,vessels, , , ,roof tiles from cabin; fragments of common ware, ,,0,0, ,203,1,,J. Leidwanger 2011.,1617,Cape Andreas,Cape Andreas B,600,700,,7626,,203,,,,,,,,,,,,,,,,,
1183,3849799.057,4254851.625,1184,Cape Andreas 3,Cape Andreas C,35.666667,34.583333, ,151,157, ,575,625, , ,10, ,1967, ,amphoras,LR1 Type 1 & 2; LR 2B/13, ,, , , ,Byzantine Y-shaped iron anchor, ,Recent work has suggested the Cape Andreas 3 & 5 are the same wreck split apart in a violent sinking,0,0, ,204,1,,J. Leidwanger 2011.,2643,Cape Andreas,Cape Andreas C,450,650,,7627,,204,,Cyprus,,,,,,,,,,,,,,,
1053,3042732.748,4397372.745,1054,Iskandil Burnu 1,Iskandil Burnu A,36.7,27.333333, ,388,399, ,575,625, , ,35, ,1981, ,amphoras," egg-shaped havit (bag-shaped), cigar-shaped from Gaza, hourglass shaped from Cyprus/Asia Minor, carrot-shaped Egyptian; LR 4 & 5",ceramic,"coarseware jugs and plates, sealed casserole",glass,goblet, ,, ,2000+ globular amphoras. Main cargo appears to have come from Palestine.,20,5, ,518,1,,J. Leidwanger 2011.,2080,Iskandil Burnu,Iskandil Burnu A,575,600,,7932,,518,,,,,,,,,,,,,,,,,
638,1251898.994,6023907.347,639,Barmsee 1, ,47.499,11.246,ca,0,0, ,580,580,ca, , , , , , ,, ,, , , ,, ,Logboat; Date by C14,0,0, , ,0,,T. Weski 2009.,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,3742190.216,4136735.049,1171,Cape Kiti 1,Cape Kiti A,34.8,33.616667, ,157,163, ,600,700,?, ,2, , , ,amphoras,Byz, ,, , , ,, ,,0,0, ,212,1,, ,1692,Cape Kiti,Cape Kiti A,600,700,,7635,,212,,,,,,,,,,,,,,,,,
1077,3073122.467,4953670.628,1078,Çıhlı Burnu, ,40.60103,27.606329, ,1048,234, ,600,700, , ,30, , , ,amphoras,"globular ""like Yassi Ada"", i.e. LRA2", ,, , , ,, ,,0,0, , ,0,"N. Günsenin 1997, 97-106.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,3885050.229,3842330.217,1198,Dor, ,32.6,34.9, ,266,275, ,600,700, , ,2, , , ,amphoras,, ,, , , ,t-shaped iron anchor, ,"well-preserved bottom of Byzantine ship. Further Raveh and Kingsley, 1992 brief survey shows 3 or more wrecks datable to Byzantine period in the same location",0,0, ,367,1,"K. Raveh and S. Kingsley 1992, 309-315; A.D. de la Presle 1993, 580-589; S. Kingsley and K. Raveh 1994, 1-12; S. Kingsley and K. Raveh 1994, 289-295; Y. Kahanov and J.G. Royal 2001, 257-265.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,3885050.229,3842330.217,1199,Dor 1,Dor A,32.6,34.9, ,267,276, ,600,640, , ,3, , , ,amphoras,Palestine, ,, , , ,stone ballast, ,wooden planking,22,0,?, ,0,"S. Kingsley 2002, 4-5; S. Kingsley 2004, 38.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,3885050.229,3842330.217,1203,Dor 6 (F),Dor F,32.6,34.9, ,271,280, ,600,640,ca, ,2, , , ,amphoras,,marble,ashlar ; mortar (unused),metal,"copper flask with iron handle, similar to one found at Yassi Ada and 4 other similar contexts in the Mediterranean.  Author claims this is feature of 7th c. Byzantine  metallurgy. Also found a copper pitcher.", ,"single hole stone anchor, hammer head", ,"hull; dating based on artefacts. Parker seems to have recorded only Dor A, which is near F.",0,0, , ,0,"K. Raveh and S. Kingsley 1992, 309-315; A.D. de la Presle 1993, 580-589; S. Kinglsey and K. Raveh 1994, 1-12; S. Kingsley and K. Raveh 1994, 289-295; Y. Kahanov and S. Breitstein 1995; S. Kingsley 2002, 4.", ,558,Dor,Dor F,600,640,first half C7th AD,8837,,,Eastern Mediterranean,Israel,,,,,Byzantine,,"Ballast stones, masonry",,,,,,,,
1203,3885050.229,3842330.217,1204,Dor 7 (G),Dor G,32.6,34.9, ,272,281, ,600,640,ca, ,2.2, , , ,amphoras,,masonry,ashlar blocks,stone,stone ballast, ,, ,,9,0,length can be 9 or less, ,0,"K. Raveh and S. Kingsley 1992, 309-315; A.D. de la Presle 1993, 580-589; S. Kinglsey and K. Raveh 1994, 1-12; S. Kinglsey and K. Raveh 1994, 289-295; Y. Kahanov and S. Breitstein 1995.", ,1540,Dor,Dor G,600,640,first half C7th AD,8838,,,Eastern Mediterranean,Israel,,2,3,3m,Byzantine,"S. Kingsley, Barbarian Seas: Late Rome to Islam (Perpilus, 2004), 40-41.","At least 9m in length, masonry",,,,"A pair of bronze steelyards, the largest of which measured 97cm with Greek inscribed along the beam showing that it could weigh up to 160lbs. It had had 3 successive owners according to the inscriptions: the earlies reads ""Saviour Jesus Christ, come to the aid of Khala and Artemon""; the second, ""Jesus Christ, come to the aid of George son of Ision""; the third, ""Jesus Christ, generated God, take pity on Psates of Rhion"".",,,,
1086,3082496.701,4400582.819,1087,Knidos-Arslanli Promontory, ,36.723117,27.690539, ,1063,425, ,600,700,ca, ,33, , , ,amphoras,, ,, , , ,, ,,0,0, , ,0,"A. Canbazoğlu 1982, 369-377.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,3070676.699,4957608.631,1076,Küçük Ada, ,40.627884,27.584358, ,1045,434, ,600,700, , ,28, , , ,ceramic,"""water pipes""", ,, , , ,, ,"An associated amphora could indicate C8: Günsenin 2002, 129",0,0, , ,0,"http://www.nautarch.org/ ; N. Günsenin 1999, 18-23; N. Günsenin 2002, 125-135.", ,1883,Kuçuk Ada,Kuçuk Ada,500,600,C6th AD,8937,,,,Turkey,Marmara,25,32,32m,Byzantine,"N. Gunsenin, Archaeonautica 14 (1998), 312-15           http://www.nautarch.org/sites.htm",Dated by a single amphora found amongst the tiles.,,Terracotta pipes  in 2 piles 38.6 x 5.1m and 26.3 x 20.4m at the 2 different depths.,,,,,,
855,1682779.636,4392745.707,856,Pantano Longarini, ,36.666667,15.116667, ,613,645, ,600,650,ca, , ,silted, , , ,, ,, , , ,, ,"stern, 14C: 500+/-120 and 622+/-48",30,0, ,787,1,, ,1392,Pantano Longarini,Pantano Longarini,600,650,C 7th AD,8178,,787,,Italy,SE Sicily,,,0m,Byzantine,"S. Kingsley, Barbarian Seas: Late Rome to Islam (Periplus, 2004), 75; S. Kampbell, INA Quarterly 34 , 20-22","A large merchant ship of more that 200-300 tonne capacity, between 30 and 40m long. It must have been heavily laden as it snapped in two.",,,"The upper section of the stern with oak frames and cypress wood planking was preserved. The surviving 9.1m starboad side shows unusally heavy framing and a rough finish with iron fastenings throughout. The cypress planks and pistachio wood tenons used below the water line suggest the ship was constructed in , Sicily, Greece or southern Italy.",,,,,
243,549176.1546,5375609.346,244,Saint-Gervais 2, ,43.416667,4.933333, ,789,830, ,600,675,ca, ,2.5, , , ,amphoras,African: Keay 61 Keay 8a; 1 spatheion.  Filled with pitch and probably recycled (Pieri),ceramic,"N African terra sigillata chiara D, orange-painted and orange; lead-glazed pottery; grey-ware pitchers; fine eastern ceramic, everyday ceramic 1 LR 5 amph, prob = galley stores, according to Kingsley 2002, 79, citing Jézégou 1983, p. 115, and 1998, 345; slightly different appraisal in Pieri 2005, 16-19.", , ,2 Merovingian broaches; barrel ; wheat,"pump, galley hearth, wooden sail-ring, bone marlinspike, auger, layer of pitch from ship store, amphora LR  C5 or C6 (reused?), ARS (Hayes 108, 109), Lamp 2B, some E(?) fineware, import coarseware; coin poss intrusive: semi-follis Heraclius Carthage 611/12; pewter tokens (intrusive? Gerardo certainly!)",40-50 tons,,18,6, ,1001,1,"M.P. Jézégou 1998, 343-351; D. Pieri 2005, 16-19.", ,688,Saint Gervais,Saint Gervais B (2),650,700,mid to late C 7th AD,8382,,1001,Western Mediterranean,France,Bouches-du-Rh™ne,2,3,2.5m,Byzantine,"M.-P. Jezegou, Archaeonuatica 4, 1984; M.-P. Jezegou in M. Bonifay (ed.) Fouilles a Marseille. Les mobiliers (1er-VIIe siecles ap. J.-C.) (1998), 343-52; S. Kingsley, Barbarian Seas: Late Rome to Islam (Periplus, 2004),  111, 128-9.",The only wreck so far discovered in which wheat and a wooden barrel have been preserved.,,Wheat - a layer of pitch spilt from the amphorae glued  this rich archaeological layer of organic material  in position in the back one third of the ship.,"9.5m x 4.5m of the hull was well preserved underneath a layer of sand, showing even less reliance on mortise and tenon construction than the contemporary Yassi Ada wreck. Poor design can be seen where frames didn't fit and small pieces of wedged wood were used to fill the gaps.","A half-follis coin dating to the reign of Heraclius (AD 611-612). A wooden barrel, the only one ever found on a Late Antique wreck, measuring 32cm in diameter and 70cm long with a 120l capacity. North African bowls (Hayes 108 and 109) and lamps, a Palestinian amphora. Coins dated to the time of Heraclius of Carthage AD 611-612 although the wreck is of a later date.","A wooden chain pump housing (55cm x 18cm, pierced vertically with 2 cylindrical cavities) was preserved in the layer of pitch.",40,,
973,2020448.758,4839336.435,974,Secche di Ugento 3, ,39.816667,18.15,ca,837,875, ,600,700,?, , , , , ,amphoras,globular, ,, , , ,, ,,0,0, ,1068,1,"G.F. Bass 2004.
", ,893,Secche Di Ugento,Secche Di Ugento C,600,700,,8447,,1068,,,,,,,,,,,,,,,,,
104,147448.2315,6814656.318,105,Sutton Hoo, ,52.080292,1.32455, ,888,925, ,600,700,ca, , ,silted, , , ,, ,, , , ,, ,"Dating based on coin and context.  Ship is Anglo-Saxon and is situated in a graveyard, contains a burial chamber attributed to East Anglian King Raedwald.",27,4.5, , ,0,"Navis I, Sutton Hoo, #91; C. Green 1963; P. Johnstone and P. Brand 1974, 102-114; A.C. Evans 1975; O. Crumlin-Pedersen and F. Rieck 1988, 139; A.E. Christensen 1996, 78.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
334,716155.3537,6737086.696,335,Xanten Lower Rhine, ,51.65,6.433333, ,981,1022, ,600,950,ca, , ,silted, , , ,, ,, , , ,, ,"Survey. ""Carolingian riverboat,"" published in survey news along with the other Xanten boats.  The Carolingian boat was mentioned in passing. ",0,0, , ,0,"H. Schlichtherle and W. Kramer 1996, 146.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
